file;fraction_done_agents;total_reward;solve_time;is_solution_optimal;is_solved;NumAgents;w;h
./Envs/Test_0\Level_0.pkl;1.0;-6.0;4;True;True;1;10;10
./Envs/Test_0\Level_1.pkl;1.0;-9.0;3;True;True;1;10;10
./Envs/Test_0\Level_10.pkl;1.0;-6.0;3;True;True;1;10;10
./Envs/Test_0\Level_11.pkl;1.0;-9.0;4;True;True;1;10;10
./Envs/Test_0\Level_12.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_13.pkl;1.0;-8.0;3;True;True;1;10;10
./Envs/Test_0\Level_14.pkl;1.0;-10.0;3;True;True;1;10;10
./Envs/Test_0\Level_15.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_16.pkl;1.0;-6.0;3;True;True;1;10;10
./Envs/Test_0\Level_17.pkl;1.0;-6.0;3;True;True;1;10;10
./Envs/Test_0\Level_18.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_19.pkl;1.0;-8.0;4;True;True;1;10;10
./Envs/Test_0\Level_2.pkl;1.0;-6.0;4;True;True;1;10;10
./Envs/Test_0\Level_20.pkl;1.0;-7.0;3;True;True;1;10;10
./Envs/Test_0\Level_21.pkl;1.0;-7.0;4;True;True;1;10;10
./Envs/Test_0\Level_22.pkl;1.0;-13.0;4;True;True;1;10;10
./Envs/Test_0\Level_23.pkl;1.0;-6.0;3;True;True;1;10;10
./Envs/Test_0\Level_24.pkl;1.0;-9.0;4;True;True;1;10;10
./Envs/Test_0\Level_25.pkl;1.0;-11.0;3;True;True;1;10;10
./Envs/Test_0\Level_26.pkl;1.0;-7.0;3;True;True;1;10;10
./Envs/Test_0\Level_27.pkl;1.0;-10.0;4;True;True;1;10;10
./Envs/Test_0\Level_28.pkl;1.0;-10.0;3;True;True;1;10;10
./Envs/Test_0\Level_29.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_3.pkl;1.0;-10.0;4;True;True;1;10;10
./Envs/Test_0\Level_30.pkl;1.0;-6.0;3;True;True;1;10;10
./Envs/Test_0\Level_31.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_32.pkl;1.0;-10.0;4;True;True;1;10;10
./Envs/Test_0\Level_33.pkl;1.0;-6.0;4;True;True;1;10;10
./Envs/Test_0\Level_34.pkl;1.0;-10.0;4;True;True;1;10;10
./Envs/Test_0\Level_35.pkl;1.0;-10.0;3;True;True;1;10;10
./Envs/Test_0\Level_36.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_37.pkl;1.0;-6.0;4;True;True;1;10;10
./Envs/Test_0\Level_38.pkl;1.0;-11.0;4;True;True;1;10;10
./Envs/Test_0\Level_39.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_4.pkl;1.0;-6.0;3;True;True;1;10;10
./Envs/Test_0\Level_40.pkl;1.0;-11.0;3;True;True;1;10;10
./Envs/Test_0\Level_41.pkl;1.0;-12.0;4;True;True;1;10;10
./Envs/Test_0\Level_42.pkl;1.0;-9.0;4;True;True;1;10;10
./Envs/Test_0\Level_43.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_44.pkl;1.0;-11.0;4;True;True;1;10;10
./Envs/Test_0\Level_45.pkl;1.0;-11.0;4;True;True;1;10;10
./Envs/Test_0\Level_46.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_47.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_48.pkl;1.0;-7.0;3;True;True;1;10;10
./Envs/Test_0\Level_49.pkl;1.0;-9.0;4;True;True;1;10;10
./Envs/Test_0\Level_5.pkl;1.0;-7.0;3;True;True;1;10;10
./Envs/Test_0\Level_50.pkl;1.0;-7.0;4;True;True;1;10;10
./Envs/Test_0\Level_51.pkl;1.0;-7.0;3;True;True;1;10;10
./Envs/Test_0\Level_52.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_53.pkl;1.0;-8.0;3;True;True;1;10;10
./Envs/Test_0\Level_54.pkl;1.0;-7.0;4;True;True;1;10;10
./Envs/Test_0\Level_55.pkl;1.0;-7.0;4;True;True;1;10;10
./Envs/Test_0\Level_56.pkl;1.0;-8.0;4;True;True;1;10;10
./Envs/Test_0\Level_57.pkl;1.0;-9.0;5;True;True;1;10;10
./Envs/Test_0\Level_58.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_59.pkl;1.0;-10.0;4;True;True;1;10;10
./Envs/Test_0\Level_6.pkl;1.0;-6.0;3;True;True;1;10;10
./Envs/Test_0\Level_60.pkl;1.0;-10.0;5;True;True;1;10;10
./Envs/Test_0\Level_61.pkl;1.0;-6.0;4;True;True;1;10;10
./Envs/Test_0\Level_62.pkl;1.0;-11.0;4;True;True;1;10;10
./Envs/Test_0\Level_63.pkl;1.0;-11.0;4;True;True;1;10;10
./Envs/Test_0\Level_64.pkl;1.0;-6.0;4;True;True;1;10;10
./Envs/Test_0\Level_65.pkl;1.0;-8.0;4;True;True;1;10;10
./Envs/Test_0\Level_66.pkl;1.0;-6.0;3;True;True;1;10;10
./Envs/Test_0\Level_67.pkl;1.0;-12.0;3;True;True;1;10;10
./Envs/Test_0\Level_68.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_69.pkl;1.0;-6.0;3;True;True;1;10;10
./Envs/Test_0\Level_7.pkl;1.0;-9.0;4;True;True;1;10;10
./Envs/Test_0\Level_70.pkl;1.0;-9.0;3;True;True;1;10;10
./Envs/Test_0\Level_71.pkl;1.0;-9.0;4;True;True;1;10;10
./Envs/Test_0\Level_72.pkl;1.0;-7.0;4;True;True;1;10;10
./Envs/Test_0\Level_73.pkl;1.0;-7.0;4;True;True;1;10;10
./Envs/Test_0\Level_74.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_75.pkl;1.0;-9.0;4;True;True;1;10;10
./Envs/Test_0\Level_76.pkl;1.0;-10.0;3;True;True;1;10;10
./Envs/Test_0\Level_77.pkl;1.0;-7.0;2;True;True;1;10;10
./Envs/Test_0\Level_78.pkl;1.0;-7.0;3;True;True;1;10;10
./Envs/Test_0\Level_79.pkl;1.0;-6.0;3;True;True;1;10;10
./Envs/Test_0\Level_8.pkl;1.0;-11.0;4;True;True;1;10;10
./Envs/Test_0\Level_80.pkl;1.0;-12.0;4;True;True;1;10;10
./Envs/Test_0\Level_81.pkl;1.0;-7.0;4;True;True;1;10;10
./Envs/Test_0\Level_82.pkl;1.0;-6.0;3;True;True;1;10;10
./Envs/Test_0\Level_83.pkl;1.0;-7.0;4;True;True;1;10;10
./Envs/Test_0\Level_84.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_85.pkl;1.0;-6.0;3;True;True;1;10;10
./Envs/Test_0\Level_86.pkl;1.0;-11.0;4;True;True;1;10;10
./Envs/Test_0\Level_87.pkl;1.0;-9.0;3;True;True;1;10;10
./Envs/Test_0\Level_88.pkl;1.0;-7.0;4;True;True;1;10;10
./Envs/Test_0\Level_89.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_9.pkl;1.0;-7.0;3;True;True;1;10;10
./Envs/Test_0\Level_90.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_0\Level_91.pkl;1.0;-7.0;3;True;True;1;10;10
./Envs/Test_0\Level_92.pkl;1.0;-8.0;3;True;True;1;10;10
./Envs/Test_0\Level_93.pkl;1.0;-6.0;3;True;True;1;10;10
./Envs/Test_0\Level_94.pkl;1.0;-11.0;4;True;True;1;10;10
./Envs/Test_0\Level_95.pkl;1.0;-5.0;2;True;True;1;10;10
./Envs/Test_0\Level_96.pkl;1.0;-7.0;2;True;True;1;10;10
./Envs/Test_0\Level_97.pkl;1.0;-10.0;3;True;True;1;10;10
./Envs/Test_0\Level_98.pkl;1.0;-12.0;3;True;True;1;10;10
./Envs/Test_0\Level_99.pkl;1.0;-5.0;3;True;True;1;10;10
./Envs/Test_1\Level_0.pkl;1.0;-22.0;7;True;True;3;10;10
./Envs/Test_1\Level_1.pkl;1.0;-20.0;7;True;True;3;10;10
./Envs/Test_1\Level_10.pkl;1.0;-28.0;9;True;True;3;10;10
./Envs/Test_1\Level_11.pkl;1.0;-25.0;8;True;True;3;10;10
./Envs/Test_1\Level_12.pkl;1.0;-21.0;12;True;True;3;10;10
./Envs/Test_1\Level_13.pkl;1.0;-22.0;7;True;True;3;10;10
./Envs/Test_1\Level_14.pkl;1.0;-30.0;9;True;True;3;10;10
./Envs/Test_1\Level_15.pkl;1.0;-19.0;6;True;True;3;10;10
./Envs/Test_1\Level_16.pkl;1.0;-27.0;16;True;True;3;10;10
./Envs/Test_1\Level_17.pkl;1.0;-19.0;6;True;True;3;10;10
./Envs/Test_1\Level_18.pkl;1.0;-17.0;7;True;True;3;10;10
